userid,associationtype,associationvalue
1,Product recommendation,Lowers
2,Product recommendation,Watches
3,Product recommendation,Lowers
4,Product recommendation,Lowers
5,Product recommendation,Books
6,Brand,Jeans
7,Brand,Lowers
8,Brand,Jeans
9,Brand,Watches
10,Brand,Shrugs
11,Product recommendation,Books
12,Brand,Lowers
13,Brand,Lowers
14,Product recommendation,Watches
15,Product recommendation,Lowers
16,Brand,Shrugs
17,Product recommendation,Shrugs
18,Brand,Shrugs
19,Brand,Lowers
20,Product recommendation,Shrugs
21,Product recommendation,Lowers
22,Brand,Lowers
23,Brand,Lowers
24,Product recommendation,Shrugs
25,Brand,Jeans
26,Product recommendation,Books
27,Brand,Lowers
28,Brand,Books
29,Brand,Books
30,Brand,Shrugs
31,Brand,Watches
32,Brand,Lowers
33,Brand,Lowers
34,Brand,Lowers
35,Brand,Lowers
36,Product recommendation,Jeans
37,Brand,Books
38,Brand,Watches
39,Product recommendation,Lowers
40,Product recommendation,Books
41,Product recommendation,Watches
42,Brand,Jeans
43,Product recommendation,Jeans
44,Product recommendation,Lowers
45,Product recommendation,Books
46,Brand,Books
47,Product recommendation,Watches
48,Product recommendation,Watches
49,Brand,Watches
50,Product recommendation,Books
51,Product recommendation,Lowers
52,Brand,Watches
53,Brand,Books
54,Brand,Books
55,Brand,Lowers
56,Brand,Lowers
57,Brand,Shrugs
58,Brand,Jeans
59,Brand,Shrugs
60,Brand,Books
61,Product recommendation,Lowers
62,Brand,Jeans
63,Brand,Watches
64,Product recommendation,Watches
65,Brand,Watches
66,Brand,Watches
67,Brand,Shrugs
68,Brand,Watches
69,Product recommendation,Books
70,Product recommendation,Jeans
71,Product recommendation,Jeans
72,Product recommendation,Watches
73,Product recommendation,Shrugs
74,Brand,Jeans
75,Brand,Books
76,Brand,Shrugs
77,Brand,Shrugs
78,Product recommendation,Shrugs
79,Brand,Jeans
80,Brand,Lowers
81,Brand,Shrugs
82,Brand,Jeans
83,Brand,Jeans
84,Product recommendation,Books
85,Product recommendation,Watches
86,Product recommendation,Jeans
87,Product recommendation,Watches
88,Product recommendation,Jeans
89,Brand,Lowers
90,Product recommendation,Shrugs
91,Brand,Shrugs
92,Product recommendation,Jeans
93,Product recommendation,Jeans
94,Brand,Books
95,Product recommendation,Jeans
96,Brand,Jeans
97,Product recommendation,Lowers
98,Brand,Shrugs
99,Brand,Books
100,Brand,Shrugs
